Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Tonight Tonight""",Hot Chelle Rae,"(1, 4, 5, 1)","(-5, -2, 7, -2)"
"""Blow""",Kesha,"(1, 6, 3, 7)","(4, 5, -7)"
"""Lighters""",Bad Meets Evil featuring Bruno Mars,"(1, 3, 6, 4)","(-4, -5, 4, 5)"
"""If I Die Young""",The Band Perry,"(2, 3, 1, 5)","(5, -7, -2, 4)"
"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine,"(7, 1, 6, 3, 7, 0, 1, 6, 3)","(4, -7, 5, -2, 4, -7, 5, -1, -1)"
"""The Time (Dirty Bit)""",The Black Eyed Peas,not found,not found
"""Coming Home""",Diddy – Dirty Money featuring Skylar Grey,"(1, 5, 3, 7)","(5, -9, 5, -1)"
"""Hey Baby (Drop It to the Floor)""",Pitbull featuring T-Pain,not found,not found
"""Only Girl (In the World)""",Rihanna,not found,not found
"""6 Foot 7 Foot""",Lil Wayne featuring Cory Gunz,not found,not found
"""Just a Kiss""",Lady Antebellum,"(1, 6, 3, 7)","(-2, 4, 5, -7)"
"""Dirt Road Anthem""",Jason Aldean,"(3, 6, 3, 1)","(9, -5, 5, -9)"
"""Dynamite""",Taio Cruz,"(1, 7, 3, 6)","(-5, -4, 2, 7)"
"""No Hands""",Waka Flocka Flame featuring Wale and Roscoe Dash,not found,not found
"""I Wanna Go""",Britney Spears,"(1, 3, 1, 3)","(-3, -4, -1, 8)"
"""I'm on One""","DJ Khaled featuring Drake, Rick Ross and Lil Wayne",not found,not found
"""You Make Me Feel...""",Cobra Starship featuring Sabi,"(3, 3, 7, 1, 1, 7)","(2, -5, -2, 5)"
"""Yeah 3x""",Chris Brown,"(4, 6, 4, 1)","(-4, 4, 5, -5)"
"""Moment 4 Life""",Nicki Minaj featuring Drake,"(1, 6, 3, 7)","(4, -7, 5, -2)"
"""I Need a Doctor""",Dr. Dre featuring Eminem and Skylar Grey,"(1, 6, 7, 5)","(4, -2, -9, 11)"
"""Just a Dream""",Nelly,not found,not found
"""Motivation""",Kelly Rowland featuring Lil Wayne,"(1, 5, 3)","(-7, 4, 3)"
"""Stereo Love""",Edward Maya featuring Vika Jigulina,"(1, 6, 3, 7)","(-8, 5, -7, 10)"
"""Jar of Hearts""",Christina Perri,"(6, 3, 7, 1, 6)","(5, -7, -2, 4, 0)"
"""Roll Up""",Wiz Khalifa,"(5, 1, 4, 6)","(-10, 7, -5, 8)"
"""Sexy and I Know It""",LMFAO,"(1, 2, 4, 5)","(-2, -3, 10, -5)"
"""Rocketeer""",Far East Movement featuring Ryan Tedder,"(1, 6, 3, 7)","(4, -7, 5, -2)"
"""All of the Lights""",Kanye West,not found,not found
"""Hold It Against Me""",Britney Spears,not found,not found
"""More""",Usher,"(7, 6, 1)","(2, 2, -4)"
"""What the Hell""",Avril Lavigne,"(6, 3, 6, 1)","(-7, 7, -4, 4)"
"""Written in the Stars""",Tinie Tempah featuring Eric Turner,not found,not found
"""Bottoms Up""",Trey Songz featuring Nicki Minaj,not found,not found
"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull,not found,not found
"""For the First Time""",The Script,not found,not found
"""Honey Bee""",Blake Shelton,"(1, 6, 4, 5)","(-9, 4, -2, 7)"
"""Don't You Wanna Stay""",Jason Aldean featuring Kelly Clarkson,"(6, 3, 7, 1)","(-7, 5, -2, 4)"
"""We Found Love""",Rihanna featuring Calvin Harris,"(1, 6, 3, 7)","(4, 5, -7, -2)"
"""Pretty Girl Rock""",Keri Hilson,"(0, 4)","(-2, -3, -4, 9)"
"""Yoü and I""",Lady Gaga,not found,not found
"""Like a G6""",Far East Movement featuring The Cataracs and Dev,not found,not found
"""Without You""",David Guetta featuring Usher,"(1, 1, 2, 1, 4)","(0, -2, 2, -5, 5)"
"""Back to December""",Taylor Swift,"(1, 6, 4, 1)","(-4, -1, 5, -7)"
"""Teenage Dream""",Katy Perry,"(2, 1, 3)","(2, -4, 2)"
"""Crazy Girl""",Eli Young Band,"(4, 1, 5)","(5, -7, 2)"
"""Cheers (Drink to That)""",Rihanna,"(0, 4, 1)","(2, -7, 5)"
"""Who Says""",Selena Gomez & the Scene,"(1, 1, 1, 1)","(0, 0, 0, 0)"
"""Barefoot Blue Jean Night""",Jake Owen,"(5, 4, 5, 1)","(-7, 2, -2, 7)"
"""Knee Deep""",Zac Brown Band featuring Jimmy Buffett,"(5, 1, 1, 4)","(0, -5, -4, 2)"
"""Country Girl (Shake It for Me)""",Luke Bryan,"(1, 0, 4)","(5, -2, 0, -3)"
"""Remind Me""",Brad Paisley and Carrie Underwood,not found,not found
"""In the Dark""",Dev,not found,not found
"""Backseat""",New Boyz featuring The Cataracs and Dev,not found,not found
"""Headlines""",Drake,"(1, 2, 3, 1)","(10, -1, -9, 10)"
"""Best Thing I Never Had""",Beyoncé,not found,not found
"""Don't Wanna Go Home""",Jason Derulo,"(3, 1, 6)","(4, 5, 0, -9)"
"""Where Them Girls At""",David Guetta featuring Flo Rida and Nicki Minaj,not found,not found
"""She Ain't You""",Chris Brown,"(2, 0, 6, 1)","(-2, 4, 1, -3)"
"""Take a Back Road""",Rodney Atkins,"(4, 4, 1, 5)","(-7, 2, 0, 5)"
"""Please Don't Go""",Mike Posner,"(1, 3, 5, 6)","(-4, -3, -2, 9)"
"""Sure Thing""",Miguel,"(1, 0, 5, 4)","(-3, -4, 2, 5)"
"""Price Tag""",Jessie J featuring B.o.B,"(1, 3, 6, 4)","(-4, -5, 4, 5)"
"""God Gave Me You""",Blake Shelton,not found,not found
"""She Will""",Lil Wayne featuring Drake,not found,not found
"""Are You Gonna Kiss Me or Not""",Thompson Square,not found,not found
"""Animal""",Neon Trees,"(5, 4, 1, 5, 4)","(-2, 2, 5, -7)"
"""You and Tequila""",Kenny Chesney featuring Grace Potter,"(0, 0, 0, 0)","(-7, 7)"
"""Colder Weather""",Zac Brown Band,"(6, 3)","(5, -5)"
"""My Last""",Big Sean featuring Chris Brown,"(1, 5, 6, 4)","(-7, 10, -8, 5)"
